user,item,score,context,value
3,1,5,a,0.521
15,7,3,d,0.452
5,3,4,c,0.389
16,1,1,a,0.413
19,4,1,a,0.046
17,3,5,c,0.668
18,2,3,a,0.038
3,9,1,d,0.344
11,3,5,c,0.128
12,8,5,a,0.944
8,4,4,a,0.203
15,10,2,a,0.207
13,1,2,a,0.697
14,2,1,d,0.281
7,6,4,c,0.554
9,7,1,c,0.638
11,5,2,a,0.457
3,3,5,d,0.042
16,2,5,d,0.159
14,2,5,b,0.349
1,7,4,b,0.227
8,5,2,d,0.588
6,8,4,c,0.368
13,8,4,a,0.308
16,3,1,d,0.020
15,9,1,d,0.623
17,3,3,a,0.883
8,2,1,a,0.056
12,5,1,b,0.325
20,9,3,a,0.274
9,4,4,c,0.959
19,5,1,d,0.299
16,8,2,a,0.731
11,7,3,a,0.124
19,10,2,c,0.546
3,8,4,d,0.840
2,6,2,a,0.026
5,1,3,d,0.508
1,8,2,d,0.495
10,10,5,b,0.127
10,9,1,c,0.092
11,7,5,c,0.552
3,2,4,a,0.703
10,9,5,c,0.369
13,10,1,d,0.564
3,3,4,b,0.193
2,1,1,a,0.925
10,3,5,a,0.374
15,2,3,a,0.175
15,9,1,b,0.754
3,9,3,c,0.713
16,7,3,c,0.511
12,4,3,a,0.412
17,10,2,b,0.652
10,4,5,c,0.134
12,2,4,b,0.022
8,2,2,b,0.033
8,9,5,c,0.774
1,4,3,b,0.335
8,7,3,d,0.535
4,5,5,d,0.194
11,3,3,b,0.110
19,3,1,c,0.910
3,8,2,d,0.491
6,10,1,d,0.932
3,3,3,a,0.073
17,2,3,a,0.169
2,6,5,c,0.313
16,2,5,b,0.725
2,3,3,d,0.844
3,2,2,c,0.024
20,6,5,d,0.507
17,3,2,c,0.032
14,1,3,c,0.738
18,1,1,d,0.898
4,7,2,c,0.134
2,5,3,d,0.883
16,3,5,a,0.596
20,4,5,b,0.778
16,2,4,a,0.083
17,4,1,d,0.648
11,5,1,b,0.091
11,9,3,b,0.727
18,2,5,b,0.132
7,4,5,d,0.980
18,4,3,c,0.041
19,9,3,b,0.221
10,10,1,b,0.597
7,4,1,c,0.298
10,5,3,a,0.316
5,2,2,a,0.693
16,2,4,d,0.712
2,2,1,a,0.122
10,8,1,c,0.461
9,9,2,d,0.132
13,8,5,b,0.098
13,1,2,b,0.726
20,4,4,a,0.278
7,8,2,b,0.198
7,2,4,c,0.495
4,10,2,a,0.308
